"","version_season","full_name","age_during_show","race","poc","date_of_birth","date_of_death","occupation","gender","ethnicity","personality_type_binary","episode","days_survived","order","contestant_count","result","city","state","region","NE","South","West","Midwest"
"41","US03","Brandon Quinton",25,NA,"White",1976-01-22,NA,"Bartender","Male","White","Extrovert",10,27,9,16,"9th voted out","Dallas","Texas","South",0,1,0,0
"42","US03","Frank Garrison",43,NA,"White",1958-07-22,NA,"Telephone Technician","Male","White","Introvert",11,30,10,16,"10th voted out","Odessa","New York","Northeast",1,0,0,0
"43","US03","Kim Powers",29,NA,"White",1971-12-03,NA,"Freelance Marketer","Female","White","Introvert",12,33,11,16,"11th voted out","Conshohocken","Pennsylvania","Northeast",1,0,0,0
"44","US03","Teresa Cooper",42,NA,"White",1959-05-05,NA,"Flight Attendant","Female","White","Extrovert",13,36,12,16,"12th voted out","Jackson","Georgia","South",0,1,0,0
"45","US03","Tom Buchanan",45,NA,"White",1955-10-30,NA,"Goat Farmer","Male","White","Extrovert",14,37,13,16,"13th voted out","Rich Valley","Virginia","South",0,1,0,0
"46","US03","Lex van den Berghe",38,NA,"White",1963-06-18,NA,"Marketing Manager","Male","White","Extrovert",14,38,14,16,"14th voted out","Santa Cruz","California","West",0,0,1,0
"47","US03","Kim Johnson",56,NA,"White",1944-09-18,NA,"Retired Teacher","Female","White","Introvert",15,39,15,16,"Runner-up","Oyster Bay","New York","Northeast",1,0,0,0
"48","US03","Ethan Zohn",27,"White","White",1973-11-12,NA,"Professional Soccer Player;Social Entrepreneur/Keynote Speaker","Male","White","Introvert",15,39,16,16,"Sole Survivor","Lexington","Massachusetts","Northeast",1,0,0,0
"49","US04","Peter Harkey",44,NA,"White",1956-01-17,NA,"Bowling Alley Owner","Male","White","Extrovert",1,3,1,16,"1st voted out","Millis","Massachusetts","Northeast",1,0,0,0
"50","US04","Patricia Jackson",49,NA,"White",1952-04-08,NA,"Truck Assembler","Female","White","Introvert",2,6,2,16,"2nd voted out","Lugoff","South Carolina","South",0,1,0,0
"51","US04","Hunter Ellis",33,NA,"White",1968-07-05,NA,"Former Navy Fighter Pilot","Male","White","Extrovert",3,9,3,16,"3rd voted out","La Jolla","California","West",0,0,1,0
"52","US04","Sarah Jones",24,NA,"White",1977-08-11,NA,"Account Manager","Female","White","Introvert",4,12,4,16,"4th voted out","Newport Beach","California","West",0,0,1,0
"53","US04","Gabriel Cade",23,NA,"White",1978-07-01,NA,"Bartender","Male","White","Introvert",5,15,5,16,"5th voted out","Hollywood","California","West",0,0,1,0
"54","US04","Gina Crews",28,NA,"White",1973-02-07,NA,"Nature Guide","Female","White","Introvert",6,18,6,16,"6th voted out","Gainesville","Florida","South",0,1,0,0
"55","US04","Rob Mariano",25,NA,"White",1975-12-25,NA,"Construction Worker","Male","White","Extrovert",7,21,7,16,"7th voted out","Canton","Massachusetts","Northeast",1,0,0,0
"56","US04","John Carroll",36,NA,"White",1965-06-14,NA,"Registered Nurse","Male","White","Extrovert",8,24,8,16,"8th voted out","Omaha","Nebraska","Midwest",0,0,0,1
"57","US04","Zoe Zanidakis",35,NA,"White",1966-03-17,NA,"Fishing Boat Captain","Female","White","Introvert",10,27,9,16,"9th voted out","Monhegan","Maine","Northeast",1,0,0,0
"58","US04","Tammy Leitner",29,NA,"White",1972-07-03,NA,"Crime Reporter","Female","White","Extrovert",11,30,10,16,"10th voted out","Mesa","Arizona","West",0,0,1,0
"59","US04","Robert DeCanio",38,NA,"White",1963-06-19,NA,"Limousine Driver","Male","White","Introvert",12,33,11,16,"11th voted out","College Point","New York","Northeast",1,0,0,0
"60","US04","Sean Rector",30,"Black","POC",1971-08-20,NA,"Teacher","Male","Black","Extrovert",13,36,12,16,"12th voted out","Los Angeles","California","West",0,0,1,0
"61","US04","Paschal English",56,NA,"White",1945-03-05,NA,"Judge","Male","White","Introvert",14,37,13,16,"Eliminated","Thomaston","Georgia","South",0,1,0,0
"62","US04","Kathy Vavrick-O'Brien",46,NA,"White",1955-01-06,NA,"Real Estate Agent","Female","White","Extrovert",14,38,14,16,"13th voted out","Burlington","Vermont","Northeast",1,0,0,0
"63","US04","Neleh Dennis",21,NA,"White",1980-02-19,NA,"Student","Female","White","Extrovert",15,39,15,16,"Runner-up","Layton","Utah","West",0,0,1,0
"64","US04","Vecepia Towery",36,"Black","POC",1965-12-09,NA,"Office Manager","Female","Black","Introvert",15,39,16,16,"Sole Survivor","Hayward","California","West",0,0,1,0
"65","US05","John Raymond",40,NA,"White",1962-02-21,NA,"Pastor","Male","White","Extrovert",1,3,1,16,"1st voted out","Slidell","Louisiana","South",0,1,0,0
"66","US05","Tanya Vance",27,NA,"White",1974-11-29,NA,"Social Worker","Female","White","Extrovert",2,6,2,16,"2nd voted out","Gray","Tennessee","South",0,1,0,0
"67","US05","Jed Hildebrand",25,NA,"White",1976-12-05,NA,"Dental Student","Male","White","Introvert",3,9,3,16,"3rd voted out","Dallas","Texas","South",0,1,0,0
"68","US05","Ghandia Johnson",33,"Black","POC",1969-01-03,NA,"Legal Secretary","Female","Black","Extrovert",4,12,4,16,"4th voted out","Denver","Colorado","West",0,0,1,0
"69","US05","Stephanie Dill",29,NA,"White",1972-11-15,NA,"Firefighter","Female","White","Introvert",5,15,5,16,"5th voted out","Ozark","Arkansas","South",0,1,0,0
"70","US05","Robert Zbacnik",23,NA,"White",1978-09-12,NA,"Bartender","Male","White","Extrovert",6,18,6,16,"6th voted out","Scottsdale","Arizona","West",0,0,1,0
"71","US05","Shii Ann Huang",28,"Asian","POC",1974-01-24,NA,"Executive Recruiter","Female","Asian","Introvert",7,21,7,16,"7th voted out","New York City","New York","Northeast",1,0,0,0
"72","US05","Erin Collins",26,NA,"White",1976-01-07,NA,"Real Estate Agent","Female","White","Extrovert",8,24,8,16,"8th voted out","Austin","Texas","South",0,1,0,0
"73","US05","Ken Stafford",30,NA,"White",1972-06-20,NA,"NYC Police Officer","Male","White","Extrovert",9,27,9,16,"9th voted out","Brooklyn","New York","Northeast",1,0,0,0
"74","US05","Penny Ramsey",27,NA,"White",1975-04-24,NA,"Pharmaceutical Sales","Female","White","Extrovert",10,30,10,16,"10th voted out","Plano","Texas","South",0,1,0,0
"75","US05","Jake Billingsley",60,NA,"White",1941-08-21,NA,"Land Broker","Male","White","Introvert",12,33,11,16,"11th voted out","McKinney","Texas","South",0,1,0,0
"76","US05","Ted Rogers Jr.",37,"Black","POC",1964-12-28,NA,"Software Development Manager","Male","Black","Extrovert",13,36,12,16,"12th voted out","Durham","North Carolina","South",0,1,0,0
"77","US05","Helen Glover",47,NA,"White",1955-04-28,NA,"Navy Swim Instructor","Female","White","Introvert",14,37,13,16,"13th voted out","Middletown","Rhode Island","Northeast",1,0,0,0
"78","US05","Jan Gentry",53,NA,"White",1948-10-31,NA,"Teacher","Female","White","Extrovert",14,38,14,16,"14th voted out","Tampa","Florida","South",0,1,0,0
"79","US05","Clay Jordan",46,NA,"White",1955-12-30,2022-05-19,"Restaurant Owner","Male","White","Extrovert",15,39,15,16,"Runner-up","Monroe","Louisiana","South",0,1,0,0
"80","US05","Brian Heidik",34,NA,"White",1968-03-09,NA,"Used Car Salesman","Male","White","Introvert",15,39,16,16,"Sole Survivor","Quartz Hill","California","West",0,0,1,0
"81","US06","Ryan Aiken",23,NA,"White",1979-02-13,NA,"Model","Male","White","Extrovert",1,3,1,16,"1st voted out","Ellicott City","Maryland","South",0,1,0,0
"82","US06","Janet Koth",46,NA,"White",1955-11-18,NA,"Homemaker","Female","White","Introvert",2,6,2,16,"2nd voted out","Manchester","Missouri","Midwest",0,0,0,1
"83","US06","Daniel Lue",26,"Asian","POC",1975-11-29,NA,"Tax Accountant","Male","Asian","Introvert",3,9,3,16,"3rd voted out","Houston","Texas","South",0,1,0,0
"84","US06","JoAnna Ward",31,"Black","POC",1971-04-29,NA,"Guidance Counselor","Female","Black","Introvert",4,12,4,16,"4th voted out","Orangeburg","South Carolina","South",0,1,0,0
"85","US06","Jeanne Hebert",40,NA,"White",1962-01-06,NA,"Marketing Director","Female","White","Introvert",5,15,5,16,"5th voted out","North Attleboro","Massachusetts","Northeast",1,0,0,0
"86","US06","Shawna Mitchell",23,NA,"White",1979-07-28,NA,"Retail Saleswoman","Female","White","Extrovert",6,18,6,16,"6th voted out","Los Angeles","California","West",0,0,1,0
"87","US06","Roger Sexton",56,NA,"White",1946-09-26,NA,"Construction Company V.P.","Male","White","Introvert",7,21,7,16,"7th voted out","Valencia","California","West",0,0,1,0
"88","US06","Dave Johnson",23,NA,"White",1979-01-16,NA,"Rocket Scientist","Male","White","Introvert",8,24,8,16,"8th voted out","Pasadena","California","West",0,0,1,0
"89","US06","Deena Bennett",35,NA,"POC",1967-02-12,NA,"Deputy District Attorney","Female",NA,"Extrovert",9,27,9,16,"9th voted out","Riverside","California","West",0,0,1,0
"90","US06","Alex Bell",32,NA,"White",1970-05-16,NA,"Triathlon Coach","Male","White","Extrovert",11,30,10,16,"10th voted out","Los Angeles","California","West",0,0,1,0
"91","US06","Christy Smith",24,NA,"White",1978-09-13,NA,"Children's Adventure Guide","Female","White","Introvert",12,33,11,16,"11th voted out","Basalt","Colorado","West",0,0,1,0
"92","US06","Heidi Strobel",24,NA,"White",1978-10-29,NA,"Gym Teacher","Female","White","Extrovert",13,36,12,16,"12th voted out","Jefferson City","Missouri","Midwest",0,0,0,1
"93","US06","Butch Lockley",50,NA,"White",1952-08-28,NA,"Principal","Male","White","Introvert",14,37,13,16,"13th voted out","Olney","Illinois","Midwest",0,0,0,1
"94","US06","Rob Cesternino",24,NA,"White",1978-10-20,NA,"Computer Projects Coordinator","Male","White","Extrovert",14,38,14,16,"14th voted out","Wantagh","New York","Northeast",1,0,0,0
"95","US06","Matthew von Ertfelda",33,NA,"White",1969-07-24,NA,"Restaurant Designer","Male","White","Introvert",15,39,15,16,"Runner-up","Washington","D.C.","Midwest",0,0,0,1
"96","US06","Jenna Morasca",21,NA,"White",1981-02-15,NA,"Swimsuit Model","Female","White","Introvert",15,39,16,16,"Sole Survivor","Bridgeville","Pennsylvania","Northeast",1,0,0,0
"97","US07","Nicole Delma",24,NA,"White",1978-09-19,NA,"Massage Therapist","Female","White","Introvert",1,3,1,16,"1st voted out","Hermosa Beach","California","West",0,0,1,0
"98","US07","Ryan Shoulders",23,NA,"White",1980-03-28,NA,"Produce Clerk","Male","White","Introvert",2,6,2,16,"2nd voted out","Clarksville","Tennessee","South",0,1,0,0
"99","US07","Lillian Morris",51,NA,"White",1952-04-03,NA,"Scout Troop Leader","Female","White","Introvert",3,9,3,16,"3rd voted out","Loveland","Ohio","Midwest",0,0,0,1
"100","US07","Lillian Morris",51,NA,"White",1952-04-03,NA,"Scout Troop Leader","Female","White","Introvert",15,39,17,16,"Runner-up","Loveland","Ohio","Midwest",0,0,0,1
"101","US07","Burton Roberts",31,NA,"White",1972-04-10,NA,"Marketing Executive","Male","White","Introvert",4,12,4,16,"4th voted out","San Francisco","California","West",0,0,1,0
"102","US07","Burton Roberts",31,NA,"White",1972-04-10,NA,"Marketing Executive","Male","White","Introvert",13,36,14,16,"13th voted out","San Francisco","California","West",0,0,1,0
"103","US07","Michelle Tesauro",22,NA,"White",1981-01-16,NA,"Student","Female","White","Extrovert",5,15,5,16,"5th voted out","Washington","D.C.","Midwest",0,0,0,1
"104","US07","Trish Dunn",42,NA,"White",1960-10-29,NA,"Sales Executive","Female","White","Extrovert",6,18,6,16,"6th voted out","Annapolis","Maryland","South",0,1,0,0
"105","US07","Shawn Cohen",28,"White","White",1974-09-20,NA,"Advertising Sales","Male","White","Extrovert",7,19,7,16,"7th voted out","Hollywood","California","West",0,0,1,0
"106","US07","Osten Taylor",27,"Black","POC",1975-12-10,NA,"Equity Trade Manager","Male","Black","Extrovert",7,19,8,16,"Quit","Boston","Massachusetts","Northeast",1,0,0,0
"107","US07","Andrew Savage",39,NA,"White",1963-07-29,NA,"Attorney","Male","White","Extrovert",8,21,9,16,"8th voted out","Chicago","Illinois","Midwest",0,0,0,1
"108","US07","Ryan Opray",30,NA,"White",1972-08-06,NA,"Electrician","Male","White","Introvert",9,24,10,16,"9th voted out","Los Gatos","California","West",0,0,1,0
"109","US07","Rupert Boneham",39,NA,"White",1964-01-27,NA,"Troubled Teens Mentor","Male","White","Extrovert",10,27,11,16,"10th voted out","Indianapolis","Indiana","Midwest",0,0,0,1
"110","US07","Tijuana Bradley",26,"Black","POC",1976-07-23,NA,"Pharmaceutical Sales","Female","Black","Extrovert",11,30,12,16,"11th voted out","St. Louis","Missouri","Midwest",0,0,0,1
"111","US07","Christa Hastie",24,NA,"White",1978-11-06,NA,"Computer Programmer","Female","White","Extrovert",12,33,13,16,"12th voted out","Los Angeles","California","West",0,0,1,0
"112","US07","Darrah Johnson",22,NA,"White",1981-05-19,NA,"Mortician","Female","White","Introvert",14,37,15,16,"14th voted out","Liberty","Mississippi","South",0,1,0,0
"113","US07","Jon Dalton",29,NA,"White",1974-03-11,NA,"Art Consultant","Male","White","Extrovert",14,38,16,16,"15th voted out","Los Angeles","California","West",0,0,1,0
"114","US07","Sandra Diaz-Twine",29,NA,"POC",1974-07-30,NA,"Office Assistant;Case Manager","Female",NA,"Extrovert",15,39,18,16,"Sole Survivor","Fort Lewis","Washington","West",0,0,1,0
"115","US08","Jenna Lewis",26,NA,"White",1977-07-16,NA,"Student","Female","White","Extrovert",16,38,16,18,"14th voted out","Burbank","California","West",0,0,1,0
"116","US08","Susan Hawk",42,NA,"White",1961-08-17,NA,"Truck Driver","Female","White","Extrovert",6,17,6,18,"Quit","Las Vegas","Nevada","Midwest",0,0,0,1
"117","US08","Rudy Boesch",75,NA,"White",1928-01-20,2019-11-01,"Retired Navy SEAL","Male","White","Introvert",2,6,2,18,"2nd voted out","Virginia Beach","Virginia","South",0,1,0,0
"118","US08","Richard Hatch",42,NA,"White",1961-04-08,NA,"Corporate Trainer","Male","White","Extrovert",5,15,5,18,"4th voted out","Middletown","Rhode Island","Northeast",1,0,0,0
"119","US08","Alicia Calaway",35,"Black","POC",1968-05-01,NA,"Personal Trainer","Female","Black","Extrovert",13,30,12,18,"10th voted out","New York City","New York","Northeast",1,0,0,0
"120","US08","Jerri Manthey",33,NA,"White",1970-09-05,NA,"Aspiring Actress","Female","White","Extrovert",10,24,9,18,"7th voted out","Los Angeles","California","West",0,0,1,0
"121","US08","Colby Donaldson",29,NA,"White",1974-04-01,NA,"Auto Customizer","Male","White","Introvert",7,19,7,18,"5th voted out","Los Angeles","California","West",0,0,1,0
"122","US08","Tina Wesson",42,NA,"White",1960-12-26,NA,"Personal Nurse;Motivational Speaker","Female","White","Extrovert",1,3,1,18,"1st voted out","Knoxville","Tennessee","South",0,1,0,0
"123","US08","Tom Buchanan",48,NA,"White",1955-10-30,NA,"Goat Farmer","Male","White","Extrovert",15,36,14,18,"12th voted out","Rich Valley","Virginia","South",0,1,0,0
"124","US08","Lex van den Berghe",40,NA,"White",1963-06-18,NA,"Marketing Manager","Male","White","Extrovert",11,27,10,18,"8th voted out","Santa Cruz","California","West",0,0,1,0
"125","US08","Ethan Zohn",30,"White","White",1973-11-12,NA,"Professional Soccer Player;Social Entrepreneur/Keynote Speaker","Male","White","Introvert",8,21,8,18,"6th voted out","New York City","New York","Northeast",1,0,0,0
"126","US08","Rob Mariano",27,NA,"White",1975-12-25,NA,"Construction Worker","Male","White","Extrovert",17,39,17,18,"Runner-up","Canton","Massachusetts","Northeast",1,0,0,0
"127","US08","Kathy Vavrick-O'Brien",48,NA,"White",1955-01-06,NA,"Real Estate Agent","Female","White","Extrovert",12,28,11,18,"9th voted out","Burlington","Vermont","Northeast",1,0,0,0
"128","US08","Shii Ann Huang",29,"Asian","POC",1974-01-24,NA,"Executive Recruiter","Female","Asian","Introvert",14,33,13,18,"11th voted out","New York City","New York","Northeast",1,0,0,0
"129","US08","Rob Cesternino",25,NA,"White",1978-10-20,NA,"Computer Projects Coordinator","Male","White","Extrovert",4,12,4,18,"3rd voted out","Plainview","New York","Northeast",1,0,0,0
"130","US08","Jenna Morasca",22,NA,"White",1981-02-15,NA,"Swimsuit Model","Female","White","Introvert",3,9,3,18,"Quit","Bridgeville","Pennsylvania","Northeast",1,0,0,0
"131","US08","Rupert Boneham",39,NA,"White",1964-01-27,NA,"Troubled Teens Mentor","Male","White","Extrovert",16,37,15,18,"13th voted out","Indianapolis","Indiana","Midwest",0,0,0,1
"132","US08","Amber Brkich",25,NA,NA,NA,NA,NA,NA,NA,NA,17,39,18,18,"Sole Survivor","Beaver","Pennsylvania","Northeast",1,0,0,0
"133","US09","Brook Geraghty",27,NA,"White",1976-11-20,NA,"Document Manager","Male","White","Introvert",1,3,1,18,"1st voted out","Winthrop","Massachusetts","Northeast",1,0,0,0
"134","US09","Dolly Neely",25,NA,"White",1978-11-18,NA,"Sheep Farmer","Female","White","Introvert",2,6,2,18,"2nd voted out","Lake Latonka","Pennsylvania","Northeast",1,0,0,0
"135","US09","John Palyok",31,NA,"White",1973-05-13,NA,"Sales Manager","Male","White","Extrovert",3,7,3,18,"3rd voted out","Los Angeles","California","West",0,0,1,0
"136","US09","Mia Galeotalanza",29,NA,"White",1974-08-17,NA,"Bookkeeper","Female","White","Extrovert",3,7,4,18,"4th voted out","Boston","Massachusetts","Northeast",1,0,0,0
"137","US09","Brady Finta",33,NA,"White",1970-12-17,NA,"FBI Agent","Male","White","Introvert",4,10,5,18,"5th voted out","Huntington Beach","California","West",0,0,1,0
"138","US09","Travis Sampson",33,NA,"White",1971-02-19,NA,"Security Officer","Male","White","Introvert",5,12,6,18,"6th voted out","Johnson City","Tennessee","South",0,1,0,0
"139","US09","Lisa Keiffer",44,NA,"White",1960-05-03,NA,"Real Estate Agent","Female","White","Extrovert",6,15,7,18,"7th voted out","Mandeville","Louisiana","South",0,1,0,0
"140","US09","John Kenney",22,NA,"White",1981-09-26,NA,"Mechanical Bull Operator","Male","White","Extrovert",7,18,8,18,"8th voted out","Los Angeles","California","West",0,0,1,0
"141","US09","Rory Freeman",35,"Black","POC",1968-10-30,NA,"Housing Case Manager","Male","Black","Introvert",8,21,9,18,"9th voted out","Des Moines","Iowa","Midwest",0,0,0,1
"142","US09","Lea Masters",40,NA,"White",1964-03-28,NA,"Drill Sergeant","Male","White","Extrovert",9,24,10,18,"10th voted out","Columbia","South Carolina","South",0,1,0,0
"143","US09","James Crittenden",34,NA,"White",1969-08-08,NA,"Teacher","Male","White","Extrovert",10,27,11,18,"11th voted out","Oakland","California","West",0,0,1,0
"144","US09","Leann Slaby",35,NA,"White",1969-07-08,NA,"Equity Research Assistant","Female","White","Introvert",11,30,12,18,"12th voted out","Kansasville","Wisconsin","Midwest",0,0,0,1
"145","US09","Ami Cusack",31,NA,"White",1973-01-25,NA,"Coffee Barista;Nanny","Female","White","Extrovert",12,33,13,18,"13th voted out","Lakewood","Colorado","West",0,0,1,0
"146","US09","Julie Berry",23,NA,"POC",1980-12-15,NA,"Youth Mentor","Female",NA,"Introvert",13,36,14,18,"14th voted out","Gorham","Maine","Northeast",1,0,0,0
"147","US09","Eliza Orlins",21,"White","White",1982-12-25,NA,"Pre-Law Student;Law School Student","Female","White","Extrovert",14,37,15,18,"15th voted out","Syracuse","New York","Northeast",1,0,0,0
"148","US09","Scout Cloud Lee",59,NA,"White",1944-11-08,NA,"Rancher","Female","White","Introvert",14,38,16,18,"16th voted out","Stillwater","Oklahoma","South",0,1,0,0
"149","US09","Twila Tanner",41,NA,"White",1962-10-12,NA,"Highway Repair Worker","Female","White","Introvert",15,39,17,18,"Runner-up","Marshall","Missouri","Midwest",0,0,0,1
"150","US09","Chris Daugherty",33,NA,"White",1970-08-29,NA,"Highway Construction Worker","Male","White","Extrovert",15,39,18,18,"Sole Survivor","South Vienna","Ohio","Midwest",0,0,0,1
"151","US10","Jonathan Libby",23,NA,"White",1981-09-05,NA,"Sales & Marketing Associate","Male","White","Introvert",1,2,1,20,"Eliminated","Dallas","Texas","South",0,1,0,0
"152","US10","Wanda Shirk",55,NA,"White",1949-08-24,NA,"English Teacher","Female","White","Extrovert",1,2,2,20,"Eliminated","Ulysses","Pennsylvania","Northeast",1,0,0,0
"153","US10","Jolanda Jones",38,"Black","POC",1965-11-06,NA,"Lawyer","Female","Black","Extrovert",1,3,3,20,"1st voted out","Houston","Texas","South",0,1,0,0
